sku,store,name,brand,unit,pack_size,price,stock,description
bebidas-0001,bebidas,Refresco Cola Regular 355ml,Coca-Cola,caja,24.0,380.0,45,Refresco de cola en lata 355ml caja de 24 piezas. Soda fria para servicio en mesa y venta individual.
bebidas-0002,bebidas,Refresco Cola Sin Azucar 355ml,Coca-Cola,caja,24.0,390.0,30,Refresco de cola zero sin azucar lata 355ml pack 24. Opcion light para comensales y refresco embotellado.
bebidas-0003,bebidas,Refresco Sabor Manzana 355ml,Manzana Lift,caja,24.0,360.0,2,Refresco sabor manzana en lata 355ml caja 24 pzas. Chesco dulce para taquerias y loncherias.
bebidas-0004,bebidas,Refresco Toronja 355ml,Squirt,caja,24.0,370.0,40,Refresco sabor toronja lata 355ml caja de 24. Ideal para preparar palomas con tequila o micheladas.
bebidas-0005,bebidas,Agua Mineral con Gas 355ml,Penafiel,caja,24.0,340.0,35,Agua mineral de manantial gasificada en lata 355ml. Sifoncito mineral para mezclas y cocteleria.
bebidas-0006,bebidas,Agua Mineral 600ml,Topochico,caja,24.0,420.0,25,Agua mineral de vidrio 600ml caja 24 botellas. Agua gasificada premium para mesa de restaurante.
bebidas-0007,bebidas,Agua Purificada sin Gas 500ml,Ciel,caja,24.0,210.0,60,Agua embotellada natural sin gas pet 500ml paquete 24 piezas. Agua pura para hidratacion de clientes.
bebidas-0008,bebidas,Agua Purificada Garrafon 20L,Bonafont,pieza,20.0,55.0,50,Garrafon de agua purificada ligera 20 litros. Agua en bidon para consumo de cocina y cafetera.
bebidas-0009,bebidas,Cerveza Clara Lager 355ml,Corona Extra,caja,24.0,480.0,55,Cerveza clara tipo lager botella 355ml cartocito de 24 chelas. Cerveza mexicana para maridaje.
bebidas-0010,bebidas,Cerveza Ambar Viena 355ml,Victoria,caja,24.0,490.0,3,Cerveza ambar de barril en botella 355ml caja 24. La chela viena tradicional para tacos y garnachas.
bebidas-0011,bebidas,Cerveza Oscura Negra 355ml,Modelo Especial,caja,24.0,510.0,28,Cerveza oscura tipo munich lata 355ml caja 24. Cerveza negra para cortes de carne y asador.
bebidas-0012,bebidas,Jugo de Naranja Natural 1L,Jumex,pieza,1.0,38.0,40,Jugo pasteurizado sabor naranja tetra pak 1 litro. Zumo citrico para desayunos buffet y cocteleria.
bebidas-0013,bebidas,Jugo de Manzana 1L,Del Valle,pieza,1.0,36.0,35,Jugo dulce de manzana 1L tetra brik. Nectar de fruta para barra infantil y desayunos.
bebidas-0014,bebidas,Jugo de Tomate y Almeja 946ml,Clamato,pieza,0.95,65.0,50,Jugo de tomate sazonado clamato 946ml. Mezclador indispensable para micheladas cubanas y mariscos.
bebidas-0015,bebidas,Salsa Inglesa Preparada 1L,Crosse & Blackwell,litro,1.0,110.0,20,Salsa tipo inglesa liquida botella de 1 litro. Sazonador liquido para barra de bar y micheladas.
bebidas-0016,bebidas,Salsa Jugo Sazonador 1L,Maggi,litro,1.0,135.0,22,Jugo sazonador concentrado 1 litro. Salsa de soya y condimento para bebidas preparadas y carnes.
bebidas-0017,bebidas,Jarabe Natural Liquido 1L,Monin,litro,1.0,180.0,15,Jarabe natural de azucar de cana botella 1L. Almibar simple para cocteles clericot y limonadas.
bebidas-0018,bebidas,Jarabe de Granadina 1L,Madrileña,litro,1.0,145.0,18,Jarabe sabor granadina roja 1 litro. Endulzante con color para tequila sunrise y sodas italianas.
bebidas-0019,bebidas,Vino Tinto de Mesa 750ml,L.A. Cetto,pieza,0.75,165.0,24,Vino tinto cabernet sauvignon valle de guadalupe 750ml. Vino de la casa para copeo y maridaje de carne.
bebidas-0020,bebidas,Vino Blanco de Mesa 750ml,Concha y Toro,pieza,0.75,140.0,2,Vino blanco sauvignon blanc 750ml. Vino fresco seco para copeo pastas y pescados.
bebidas-0021,bebidas,Tequila Reposado 1L,Jose Cuervo,litro,1.0,320.0,30,Tequila reposado 100% agave botella de 1 litro. Destilado de agave para margaritas y copeo en barra.
bebidas-0022,bebidas,Mezcal Espadin Artesanal 750ml,400 Conejos,pieza,0.75,580.0,16,Mezcal artesanal joven espadin oaxaca 750ml. Destilado ahumado para cocteleria de autor y sal de gusano.
bebidas-0023,bebidas,Ron Blanco Carta Blanca 1L,Bacardi,litro,1.0,250.0,25,Ron blanco tradicional botella 1 litro. Licor de cana para cubas mojitos y cocteles tropicales.
bebidas-0024,bebidas,Vodka Clasico 1L,Absolut,litro,1.0,360.0,20,Vodka destilado de trigo 1 litro. Destilado neutro premium para martinis rusos y combinados.
bebidas-0025,bebidas,Leche Entera Ultrapasteurizada 1L,Lala,caja,12.0,310.0,40,Leche entera caja con 12 litros tetra pak. Leche de vaca para espumar en cafetera y malteadas.
bebidas-0026,bebidas,Leche Deslactosada 1L,Santa Clara,caja,12.0,340.0,30,Leche deslactosada caja 12 piezas de 1 litro. Leche de facil digestion para cafe capuchino y lattes.
bebidas-0027,bebidas,Leche de Almendra sin Azucar 1L,Silk,caja,8.0,360.0,15,Bebida vegetal de almendra sin endulzar caja 8 litros. Alternativa vegana para baristas y cafeteria.
bebidas-0028,bebidas,Te Negro en Sobres Caja 100,Twinings,caja,100.0,220.0,20,Te negro english breakfast caja con 100 bolsitas. Infusion herbal caliente para servicio de salon.
bebidas-0029,bebidas,Te Verde con Menta Caja 100,McCormick,caja,100.0,175.0,22,Te verde con menta sobrecitos individuales caja 100 piezas. Infusion digestiva antioxidante.
bebidas-0030,bebidas,Concentrado de Horchata 5L,Tucan,pieza,5.0,290.0,18,Jarabe concentrado para agua fresca de horchata garrafa 5L. Rinde 25 litros agua de arroz dulce.
bebidas-0031,bebidas,Concentrado de Jamaica 5L,Tucan,pieza,5.0,295.0,20,Jarabe base flor de jamaica garrafa 5L. Concentrado de jamaica acidita para vitrolero de taqueria.
bebidas-0032,bebidas,Refresco Sabor Naranja 355ml,Fanta,caja,24.0,360.0,35,Refresco frutal sabor naranja lata 355ml paquete 24 piezas. Gaseosa naranja para combos de comida rapida.
bebidas-0033,bebidas,Refresco Cola Regular 355ml Presentacion Mayoreo,Penafiel,caja,48.0,703.0,15,Refresco de cola en lata 355ml caja de 24 piezas. Soda fria para servicio en mesa y venta individual. Formato institucional mayoreo para alto volumen.
bebidas-0034,bebidas,Refresco Cola Sin Azucar 355ml Presentacion Mayoreo,Jarritos,caja,48.0,721.5,22,Refresco de cola zero sin azucar lata 355ml pack 24. Opcion light para comensales y refresco embotellado. Formato institucional mayoreo para alto volumen.
bebidas-0035,bebidas,Refresco Sabor Manzana 355ml Presentacion Mayoreo,Del Valle,caja,48.0,666.0,29,Refresco sabor manzana en lata 355ml caja 24 pzas. Chesco dulce para taquerias y loncherias. Formato institucional mayoreo para alto volumen.
bebidas-0036,bebidas,Refresco Toronja 355ml Presentacion Mayoreo,Tucan,caja,48.0,684.5,36,Refresco sabor toronja lata 355ml caja de 24. Ideal para preparar palomas con tequila o micheladas. Formato institucional mayoreo para alto volumen.
bebidas-0037,bebidas,Agua Mineral con Gas 355ml Presentacion Mayoreo,Ciel,caja,48.0,629.0,43,Agua mineral de manantial gasificada en lata 355ml. Sifoncito mineral para mezclas y cocteleria. Formato institucional mayoreo para alto volumen.
bebidas-0038,bebidas,Agua Mineral 600ml Presentacion Mayoreo,Bonafont,caja,48.0,777.0,50,Agua mineral de vidrio 600ml caja 24 botellas. Agua gasificada premium para mesa de restaurante. Formato institucional mayoreo para alto volumen.
bebidas-0039,bebidas,Agua Purificada sin Gas 500ml Presentacion Mayoreo,Penafiel,caja,48.0,388.5,57,Agua embotellada natural sin gas pet 500ml paquete 24 piezas. Agua pura para hidratacion de clientes. Formato institucional mayoreo para alto volumen.
bebidas-0040,bebidas,Agua Purificada Garrafon 20L Presentacion Mayoreo,Jarritos,pieza,40.0,101.75,64,Garrafon de agua purificada ligera 20 litros. Agua en bidon para consumo de cocina y cafetera. Formato institucional mayoreo para alto volumen.
bebidas-0041,bebidas,Cerveza Clara Lager 355ml Presentacion Mayoreo,Del Valle,caja,48.0,888.0,71,Cerveza clara tipo lager botella 355ml cartocito de 24 chelas. Cerveza mexicana para maridaje. Formato institucional mayoreo para alto volumen.
bebidas-0042,bebidas,Cerveza Ambar Viena 355ml Presentacion Mayoreo,Tucan,caja,48.0,906.5,78,Cerveza ambar de barril en botella 355ml caja 24. La chela viena tradicional para tacos y garnachas. Formato institucional mayoreo para alto volumen.
bebidas-0043,bebidas,Cerveza Oscura Negra 355ml Presentacion Mayoreo,Ciel,caja,48.0,943.5,20,Cerveza oscura tipo munich lata 355ml caja 24. Cerveza negra para cortes de carne y asador. Formato institucional mayoreo para alto volumen.
bebidas-0044,bebidas,Jugo de Naranja Natural 1L Presentacion Mayoreo,Bonafont,pieza,2.0,70.3,27,Jugo pasteurizado sabor naranja tetra pak 1 litro. Zumo citrico para desayunos buffet y cocteleria. Formato institucional mayoreo para alto volumen.
bebidas-0045,bebidas,Jugo de Manzana 1L Presentacion Mayoreo,Penafiel,pieza,2.0,66.6,34,Jugo dulce de manzana 1L tetra brik. Nectar de fruta para barra infantil y desayunos. Formato institucional mayoreo para alto volumen.
bebidas-0046,bebidas,Jugo de Tomate y Almeja 946ml Presentacion Mayoreo,Jarritos,pieza,1.9,120.25,41,Jugo de tomate sazonado clamato 946ml. Mezclador indispensable para micheladas cubanas y mariscos. Formato institucional mayoreo para alto volumen.
